Time [s] 	canBusModel.CAN_OUT 	vECUcontroller_3.Out1 	vECUcontroller_4.Out1
0			
0.06	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.12	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.18	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.24	0-0-0-0-	0-0-0-0-0-	1-5-0-8-04:00:00:00:00:00:00:00
0.3	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.36	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.42	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.48	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.54	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.6	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.66	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.72	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.78	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.84	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.9	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
0.96	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.021	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.081	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.141	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.201	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.261	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.321	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.381	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.441	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.5009999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.5609999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.6209999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.6809999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.7409999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.8009999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.8609999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.9209999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.9809999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
1.9999999999999	0-0-0-0-	0-0-0-0-0-	0-0-0-0-0-
